名称,省
广州健民医药连锁有限公司东山分店,广东
广东大参林连锁药店有限公司711店广州黄埔丰乐中,广东
广州市逸仙大药房有限公司,广东
广州市中二大药房有限公司,广东
中山三院便民大药房,广东
广州市博惠大药房有限公司,广东
广州市红会便民药房,广东
君济堂药店,广东
大参林1622分店（棠德西路）,广东
广东金康药房连锁有限公司惠恩店,广东
广东省海王星辰黄埔百佳店,广东
佛山市普天大药房健康广场 ,广东
普天平价大药房（文华北路店）,广东
南海区中医院院内药房,广东
佛山市易德康医疗器械有限公司,广东
新乡市正泰医药连锁有限责任公司十六部,河南
新乡市正泰医药连锁有限责任公司二十部,河南
焦作市国控大药房二十店,河南
焦作市国控大药房二十三店,河南
焦作蓝十字医药连锁有限公司铜马店,河南
焦作蓝十字医药连锁有限公司焦南店,河南
武汉市武昌区好药师粮道街大药房,湖北
隆泰大药房古田五路店,湖北
湖北诚民天济建四店,湖北
湖北诚民天济建三店,湖北
武汉市心连心药房有限责任公司普爱店,湖北
武汉普安医药有限公司普安药房体育馆店,湖北
湖北中联大药房连锁有限公司同济医大分店,湖北
湖北诚民天济武胜店,湖北
湖北长江大药房连锁有限公司武汉彭刘杨路店,湖北
湖北公司武汉司门口店,湖北
湖北省湖北公司武汉沌口宁康路店,湖北
湖北公司武汉简易店,湖北
湖北公司武汉沌口金色港湾店,湖北
湖北公司武汉得胜桥店,湖北
千金大药房韶山路店,湖南
湖南省梓园路连锁店,湖南
湖南益丰湘潭基建营分店,湖南
湖南公司湘潭中心医院分店,湖南
甘肃省众友连锁第125分店,甘肃
山东远东医药有限公司潍坊平民大药房二店,山东
山东省淄博天和堂景泰成医药连锁有限公司健康药店,山东
淄博天和堂景泰成医药连锁有限公司颜神药店,山东
山东省舜都店,山东
山东立健医药城连锁有限公司烟台宏达店,山东
山东立健医药城连锁有限公司烟台龙口大药房,山东
山东立健医药城连锁有限公司烟台初家店,山东
潍坊金通大药店连锁有限公司学院店,山东
潍坊金通大药店连锁有限公司税校店,山东
山东远东医药有限公司潍坊平民大药房七店,山东
潍坊金通医药有限公司金通大药店高新店,山东
聊城市利民大药店利民大药店,山东
聊城市五洲大药店第三连锁店,山东
聊城市利民大药店聊大连锁店,山东
聊城市五洲大药房鲁化店,山东
山东立健医药城连锁有限公司烟台芝罘屯店,山东
青岛医保药品城有限公司市南店,山东
淄博天和堂景泰成白塔药店,山东
济南漱玉平民大药房有限公司王舍人店,山东
济南漱玉平民大药房有限公司东关店,山东
青岛医保药品城有限公司伊春路分公司,山东
山东立健医药城连锁有限公司烟台彩云城店,山东
山东省山东立健医药城连锁有限公司潍坊和平路店,山东
淄博天和堂景泰成医药连锁有限公司金晶路药店,山东
山东省诸城远东平民大药房三店,山东
山东省诸城远东平民大药房二店,山东
潍坊金通医药有限公司寿光正阳店,山东
青岛众生大药房连锁有限公司佳木斯路店,山东
寿光圣达康缘医药连锁有限公司第三十三药店,山东
潍坊金通医药有限公司金通大药店滨海店,山东
山东省济南漱玉平民大药房有限公司历山路店,山东
青岛同方连锁城阳长城路店,山东
济南漱玉平民大药房有限公司师范路二店,山东
